Organization,Degree,Specialisation,Year
Indian Institute of Technology (Delhi),M.Tech,Manu,1996
Indian Institute of Technology (Bhubaneswar),B.Pharm,Medicine,2011
Indian Institute of Science Education and Research (IISER),B.Tech,Manu,2014
Lady Shri Ram College for Women (LSR),B.Tech,Electrical,1984
Indian Institute of Technology (Kanpur),Ph.D,Medicine,2014
Indian Institute of Management (Lucknow),BE,Comp Sci,2010
Indian Institute of Science Education and Research (IISER),M.Tech,Mechanical,2015
National Law University (NLU),BE,Mechanical,1982
Indian Institute of Management (Indore),B.Tech,Electrical,1998
Indian Institute of Foreign Trade (IIFT),M.Tech,Comp Sci,1993
National Institute of Design (NID),B.Tech,Comp Sci,2002
National Institute of Technology (Jaipur),B.A,History,1993
Manipal Academy of Higher Education,M.Tech,Comp Sci,1985
Indian Institute of Technology (Banaras Hindu University),Ph.D,English,1983
Indian School of Business (ISB),BE,Mechanical,2010
Indian Institute of Technology (Kanpur),B.A,Sociology,2003
National Institute of Technology (Surathkal),B.Pharm,Medicine,1992
National Institute of Fashion Technology (NIFT),B.Tech,Comp Sci,1994
Indian Institutes of Technology (IITs),B.Tech,Comp Sci,1998
Indian Institute of Technology (Bhubaneswar),Ph.D,History,2000
Indian Institute of Technology (Delhi),B.Pharm,Medicine,2006
Indian Institute of Technology (Guwahati),Ph.D,History,2011
Indian Institutes of Technology (IITs),M.Tech,Civil,2022
Indian Institute of Management (Kozhikode),Ph.D,Mechanical,2009
Lady Shri Ram College for Women (LSR),BE,Electrical,1989
National Institute of Technology (Warangal),B.Pharm,Medicine,1991
Christ University,BE,Manu,1992
Loyola College,BE,Mechanical,2010
Indian Institute of Technology (Kanpur),Ph.D,Sociology,2010
National Institute of Technology (Calicut),BE,Manu,2019
Manipal Academy of Higher Education,BE,Civil,1988
Jawaharlal Nehru University (JNU),B.Pharm,Medicine,1999
Manipal Academy of Higher Education,B.Pharm,Medicine,1999
National Institute of Technology (Warangal),M.Tech,Manu,2014
Indian Institutes of Management (IIMs),BE,Electrical,1999
Delhi Technological University (DTU),M.Tech,Civil,1994
Indian Institutes of Technology (IITs),B.A,English,2019
Miranda House,B.Pharm,Medicine,1996
National Institute of Technology (Warangal),B.A,English,2019
St. Stephen's College,BE,Civil,2018
National Institute of Design (NID),Ph.D,Medicine,1984
Indian Institute of Technology (Banaras Hindu University),M.Tech,Mechanical,1983
National Law University (NLU),Ph.D,Comp Sci,1988
National Institute of Technology (NITs),M.Tech,Comp Sci,2019
Symbiosis International University,B.A,Psychology,2010
Manipal Academy of Higher Education,B.Tech,Mechanical,1986
Indian Institute of Science (IISc),B.Tech,Electrical,2016
National Institute of Technology (NITs),BE,Electrical,2002
Indian Institute of Science Education and Research (IISER),M.Tech,Manu,2012
Indian Institutes of Management (IIMs),M.Tech,Manu,1989
Jawaharlal Nehru University (JNU),Ph.D,Psychology,2019
Indian Institute of Technology (Bombay),B.Tech,Comp Sci,2000
Indian Institute of Technology (Banaras Hindu University),B.Pharm,Medicine,2000
Indian Institute of Technology (Guwahati),M.Tech,Comp Sci,2017
National Institute of Technology (NITs),M.Tech,Comp Sci,1987
Indian Institute of Science (IISc),B.Tech,Electrical,2020
Indian Institute of Technology (Kanpur),B.Pharm,Medicine,2019
National Institute of Technology (Surathkal),Ph.D,Manu,2017
Presidency University,B.Tech,Comp Sci,2004
St. Stephen's College,B.Tech,Manu,2001
Indian Statistical Institute (ISI),BE,Mechanical,1991
Delhi Technological University (DTU),M.Tech,Mechanical,2005
Symbiosis International University,B.Tech,Manu,2022
Indian Institute of Management (Indore),B.A,History,2009
Indian Institute of Technology (Banaras Hindu University),B.Pharm,Medicine,1995
Banaras Hindu University (BHU),B.Pharm,Medicine,2007
Indian Institute of Technology (Madras),M.Tech,Mechanical,2015
National Institute of Technology (Jaipur),M.Tech,Civil,1982
Indian Statistical Institute (ISI),BE,Mechanical,2003
Indian Statistical Institute (ISI),Ph.D,Mechanical,1995
All India Institute of Medical Sciences (AIIMS),BE,Civil,1989
National Law School of India University (NLSIU),B.Tech,Electrical,1982
St. Stephen's College,M.Tech,Electrical,2016
Indian Institute of Science Education and Research (IISER),B.Pharm,Medicine,2004
National Institute of Technology (Surathkal),M.Tech,Manu,2004
Christ University,B.Pharm,Medicine,1988
Indian Institute of Technology (Roorkee),BE,Civil,2008
Indian Statistical Institute (ISI),B.Tech,Civil,1997
Indian Institute of Science (IISc),M.Tech,Comp Sci,1982
Indian Institute of Foreign Trade (IIFT),Ph.D,English,1989
Hansraj College,BE,Civil,2015
Indian Institute of Technology (Madras),M.Tech,Electrical,2021
Indian Institute of Technology (Bhubaneswar),B.Tech,Electrical,2016
National Institute of Technology (Trichy),B.Pharm,Medicine,1986
Christ University,B.Tech,Manu,2002
Hansraj College,B.Tech,Civil,1986
Delhi Technological University (DTU),B.Pharm,Medicine,1994
Indian Institute of Technology (Madras),M.Tech,Manu,2002
National Law School of India University (NLSIU),BE,Manu,2014
Indian Institute of Science (IISc),B.A,Psychology,2005
Banaras Hindu University (BHU),B.A,Sociology,1982
Indian Institute of Technology (Bhubaneswar),M.Tech,Mechanical,2005
Indian Institute of Technology (Roorkee),B.A,History,2016
Indian Institutes of Management (IIMs),B.Pharm,Medicine,1987
National Institute of Design (NID),BE,Comp Sci,1989
National Institute of Technology (Warangal),B.Tech,Mechanical,2006
Christ University,B.Pharm,Medicine,2008
National Institute of Technology (Calicut),Ph.D,Mechanical,2007
National Institute of Technology (Surathkal),B.Tech,Comp Sci,1983
Indian Institute of Technology (Guwahati),B.Pharm,Medicine,2005
Manipal Academy of Higher Education,M.Tech,Manu,1999
Christ University,Ph.D,Mechanical,1987
Indian Institutes of Management (IIMs),BE,Civil,2017
Presidency University,BE,Civil,2012
Indian Institute of Technology (Bombay),B.A,Psychology,1991
Symbiosis International University,B.Pharm,Medicine,2022
Indian Institutes of Technology (IITs),B.Tech,Mechanical,1984
Indian Institute of Science Education and Research (IISER),BE,Civil,1986
Indian Institute of Technology (Banaras Hindu University),B.Pharm,Medicine,1983
Indian Institute of Management (Ahmedabad),BE,Mechanical,1984
Jawaharlal Nehru University (JNU),BE,Comp Sci,2018
Jawaharlal Nehru University (JNU),BE,Manu,1996
National Law University (NLU),BE,Civil,2021
Indian Institute of Technology (Bombay),B.A,Psychology,1995
National Institute of Technology (NITs),B.Tech,Mechanical,1989
Indian Institute of Technology (Roorkee),Ph.D,Manu,1983
Indian Institute of Management (Kolkata),BE,Manu,2020
Indian Institutes of Technology (IITs),B.Tech,Electrical,2013
Xavier Labour Relations Institute (XLRI),M.Tech,Civil,2022
National Law University (NLU),BE,Mechanical,2001
National Institute of Technology (Surathkal),B.Tech,Mechanical,1984
Tata Institute of Social Sciences (TISS),B.Pharm,Medicine,2013
Jawaharlal Nehru University (JNU),BE,Manu,1993
Indian Institute of Science Education and Research (IISER),B.A,Psychology,2021
National Institute of Technology (Trichy),BE,Comp Sci,1992
Miranda House,M.Tech,Manu,1990
National Institute of Technology (Jaipur),B.Tech,Electrical,1980
Indian Institute of Technology (Bombay),B.A,English,1982
Indian Institute of Management (Kolkata),Ph.D,Manu,1984
St. Stephen's College,B.Pharm,Medicine,2014
National Institute of Technology (Calicut),B.Pharm,Medicine,1996
Birla Institute of Technology and Science (BITS Pilani),B.Tech,Electrical,1991
Indian Institute of Technology (Bombay),BE,Mechanical,1991
Indian Institute of Management (Lucknow),B.Tech,Comp Sci,2012
Xavier Labour Relations Institute (XLRI),B.Pharm,Medicine,2007
Indian Institute of Management (Indore),B.A,History,2017
Lady Shri Ram College for Women (LSR),BE,Civil,1992
Indian Institute of Technology (Bhubaneswar),M.Tech,Manu,2021
Delhi Technological University (DTU),B.Tech,Civil,1992
Indian Statistical Institute (ISI),B.Tech,Mechanical,2009
Indian Institute of Technology (Delhi),M.Tech,Mechanical,1990
National Institute of Technology (Jaipur),B.A,Sociology,2018
Loyola College,B.Tech,Civil,1997
Indian Institute of Foreign Trade (IIFT),Ph.D,Comp Sci,2009
Indian Institute of Management (Indore),B.A,History,1986
National Institute of Technology (Jaipur),Ph.D,History,2022
Loyola College,BE,Comp Sci,1986
Indian Institute of Management (Kolkata),BE,Manu,1995
Indian Statistical Institute (ISI),B.Pharm,Medicine,1985
Loyola College,BE,Mechanical,1991
All India Institute of Medical Sciences (AIIMS),B.A,Psychology,1995
Indian Institute of Management (Ahmedabad),B.Tech,Civil,1985
Symbiosis International University,B.Pharm,Medicine,2003
Tata Institute of Social Sciences (TISS),B.Tech,Comp Sci,1991
Aligarh Muslim University (AMU),B.Pharm,Medicine,2022
Delhi Technological University (DTU),M.Tech,Electrical,1989
National Institute of Technology (Warangal),B.Tech,Electrical,2006
Indian Institute of Technology (Bhubaneswar),B.Tech,Electrical,2003
Indian School of Business (ISB),B.A,History,1982
National Institute of Design (NID),M.Tech,Civil,1995
Indian Institutes of Technology (IITs),BE,Comp Sci,1988
National Institute of Fashion Technology (NIFT),Ph.D,Psychology,2021
Aligarh Muslim University (AMU),B.Pharm,Medicine,1997
National Institute of Technology (Warangal),Ph.D,History,1989
Indian Institute of Management (Kozhikode),M.Tech,Mechanical,2002
Indian Institute of Foreign Trade (IIFT),BE,Mechanical,2004
All India Institute of Medical Sciences (AIIMS),M.Tech,Civil,2002
Indian Institute of Management (Lucknow),M.Tech,Mechanical,1997
National Law University (NLU),BE,Manu,2004
Indian Institute of Science (IISc),Ph.D,Mechanical,1995
Indian Institute of Technology (Roorkee),BE,Electrical,1983
National Institute of Technology (Calicut),B.Tech,Mechanical,1993
Indian Institute of Management (Lucknow),M.Tech,Manu,2000
Xavier Labour Relations Institute (XLRI),Ph.D,History,2010
National Institute of Technology (NITs),M.Tech,Manu,1994
Banaras Hindu University (BHU),B.Pharm,Medicine,1987
Presidency University,B.A,History,1981
St. Stephen's College,M.Tech,Civil,1989
Tata Institute of Social Sciences (TISS),B.Tech,Electrical,2013
National Institute of Technology (Calicut),Ph.D,Sociology,1998
Xavier Labour Relations Institute (XLRI),Ph.D,Psychology,1986
Hansraj College,M.Tech,Electrical,1987
National Law University (NLU),M.Tech,Electrical,2010
Indian Institute of Technology (Bhubaneswar),B.Pharm,Medicine,1984
Presidency University,B.Pharm,Medicine,2002
Symbiosis International University,B.A,English,1986
Indian Institutes of Technology (IITs),B.Pharm,Medicine,1996
Lady Shri Ram College for Women (LSR),BE,Comp Sci,2018
Loyola College,B.A,Sociology,2009
Symbiosis International University,B.Tech,Electrical,2009
Banaras Hindu University (BHU),B.A,History,1988
St. Stephen's College,M.Tech,Electrical,2021
All India Institute of Medical Sciences (AIIMS),B.Pharm,Medicine,2010
Indian Statistical Institute (ISI),M.Tech,Comp Sci,1994
Indian Institute of Technology (Guwahati),BE,Manu,2016
Indian Statistical Institute (ISI),BE,Civil,1987
Lady Shri Ram College for Women (LSR),B.Pharm,Medicine,2020
Symbiosis International University,Ph.D,History,1994
Delhi Technological University (DTU),M.Tech,Mechanical,1988
St. Stephen's College,B.A,English,1985
St. Stephen's College,Ph.D,Manu,2015
Xavier Labour Relations Institute (XLRI),Ph.D,Mechanical,1988
Indian Institute of Technology (Roorkee),B.A,Psychology,2008
Miranda House,BE,Mechanical,2002
National Institute of Design (NID),B.A,Sociology,1981
Indian Institute of Management (Kolkata),M.Tech,Manu,2002
Indian Institute of Management (Ahmedabad),B.Pharm,Medicine,1990
Presidency University,Ph.D,Sociology,2022
National Institute of Technology (Warangal),B.Pharm,Medicine,1991
Loyola College,B.A,Sociology,1996
Indian Institute of Management (Lucknow),M.Tech,Electrical,2005
Indian Institute of Management (Ahmedabad),B.Pharm,Medicine,1982
National Law University (NLU),B.Pharm,Medicine,1992
Indian Institute of Technology (Banaras Hindu University),BE,Mechanical,2013
Miranda House,M.Tech,Mechanical,2018
Aligarh Muslim University (AMU),BE,Comp Sci,2004
Indian Institute of Technology (Banaras Hindu University),B.A,Sociology,1992
Birla Institute of Technology and Science (BITS Pilani),B.Pharm,Medicine,1983
Loyola College,BE,Electrical,2015
National Law University (NLU),BE,Electrical,2016
Aligarh Muslim University (AMU),Ph.D,English,2020
Xavier Labour Relations Institute (XLRI),B.A,Psychology,1995
National Law School of India University (NLSIU),B.Pharm,Medicine,1990
Indian Institute of Science (IISc),BE,Civil,1995
National Law School of India University (NLSIU),B.A,History,2014
National Institute of Technology (Jaipur),Ph.D,History,1991
Indian Institute of Technology (Roorkee),B.Tech,Mechanical,2014
Hansraj College,Ph.D,Sociology,2006
Indian Institute of Management (Kozhikode),Ph.D,Psychology,2015
Indian School of Business (ISB),M.Tech,Comp Sci,2015
Christ University,B.Pharm,Medicine,1993
Indian Institute of Science Education and Research (IISER),B.Pharm,Medicine,1984
National Institute of Technology (Surathkal),B.Pharm,Medicine,1998
Loyola College,Ph.D,English,1988
Indian Statistical Institute (ISI),B.A,History,2019
Indian Institute of Foreign Trade (IIFT),M.Tech,Comp Sci,1984
Manipal Academy of Higher Education,B.Tech,Comp Sci,2004
Christ University,B.Tech,Electrical,2008
Presidency University,B.A,History,1987
National Institute of Fashion Technology (NIFT),M.Tech,Mechanical,1989
Indian Statistical Institute (ISI),B.A,English,2015
Presidency University,BE,Mechanical,1992
National Institute of Technology (Trichy),BE,Manu,1999
National Institute of Design (NID),M.Tech,Civil,1993
Manipal Academy of Higher Education,B.A,English,2012
Symbiosis International University,M.Tech,Civil,2020
Indian Institute of Science (IISc),BE,Civil,1988
Indian Institute of Science (IISc),M.Tech,Comp Sci,2017
Indian Institute of Technology (Madras),M.Tech,Civil,2005
Indian Institutes of Technology (IITs),B.Tech,Comp Sci,1999
Indian School of Business (ISB),B.Pharm,Medicine,2004
National Institute of Design (NID),Ph.D,Medicine,2015
Indian Institute of Science Education and Research (IISER),M.Tech,Electrical,1992
Indian Institutes of Management (IIMs),B.Tech,Comp Sci,2010
Lady Shri Ram College for Women (LSR),BE,Mechanical,2006
Indian Institute of Technology (Bombay),Ph.D,Medicine,1982
National Institute of Technology (Trichy),B.Pharm,Medicine,2021
National Law University (NLU),Ph.D,Comp Sci,1986
Indian Institute of Technology (Madras),M.Tech,Manu,1995
Indian Statistical Institute (ISI),B.A,English,2022
Indian Institute of Technology (Guwahati),Ph.D,Mechanical,2004
Indian Institutes of Technology (IITs),B.Tech,Civil,2019
Presidency University,B.A,Sociology,1985
Indian Institute of Management (Lucknow),M.Tech,Electrical,2005
Indian Institute of Technology (Banaras Hindu University),B.Pharm,Medicine,1983
Aligarh Muslim University (AMU),BE,Manu,2013
Indian Institutes of Management (IIMs),Ph.D,Psychology,2018
Xavier Labour Relations Institute (XLRI),B.Tech,Mechanical,2020
National Institute of Technology (Trichy),B.A,Psychology,2019
Jawaharlal Nehru University (JNU),B.A,History,2010
Banaras Hindu University (BHU),B.A,History,1997
National Law University (NLU),M.Tech,Civil,1998
Indian Institute of Technology (Madras),B.Tech,Comp Sci,2012
Indian Institute of Science (IISc),B.Tech,Electrical,1980
Indian Institute of Management (Indore),Ph.D,Civil,2021
Loyola College,B.Tech,Electrical,1996
Birla Institute of Technology and Science (BITS Pilani),M.Tech,Civil,1982
Indian Institute of Science (IISc),B.A,History,2017
Indian Institute of Management (Kozhikode),B.Tech,Electrical,2009
Indian Institute of Technology (Delhi),BE,Electrical,1995
National Institute of Technology (Trichy),B.Tech,Civil,1985
Loyola College,Ph.D,Manu,2020
Birla Institute of Technology and Science (BITS Pilani),B.Tech,Manu,1988
Indian Institute of Technology (Guwahati),BE,Electrical,2022
St. Stephen's College,BE,Mechanical,2011
Indian Institute of Foreign Trade (IIFT),B.Pharm,Medicine,2016
Symbiosis International University,Ph.D,English,2006
National Institute of Fashion Technology (NIFT),Ph.D,Sociology,2021
National Institute of Technology (Calicut),B.A,English,1997
National Institute of Fashion Technology (NIFT),BE,Comp Sci,2017
Indian Institute of Technology (Delhi),BE,Mechanical,1981
National Institute of Technology (Trichy),BE,Comp Sci,2005
National Law University (NLU),BE,Comp Sci,1980
Indian Institute of Management (Ahmedabad),B.Tech,Comp Sci,1980
Indian Institutes of Technology (IITs),M.Tech,Electrical,1980
Indian Institute of Technology (Kanpur),B.A,History,1988
Indian Institute of Technology (Bombay),M.Tech,Mechanical,2001
Indian Statistical Institute (ISI),B.Tech,Mechanical,1990
Loyola College,BE,Electrical,2017
Aligarh Muslim University (AMU),B.Tech,Civil,1980
Indian Institute of Technology (Madras),B.A,English,1987
Lady Shri Ram College for Women (LSR),Ph.D,Medicine,2019
Indian Institute of Technology (Bombay),B.Pharm,Medicine,1980
Manipal Academy of Higher Education,B.Tech,Electrical,1992
Indian Institute of Technology (Madras),Ph.D,Civil,2012
National Institute of Design (NID),B.Tech,Electrical,2017
National Institute of Technology (NITs),B.Tech,Manu,1987
Manipal Academy of Higher Education,M.Tech,Civil,1994
Indian Institutes of Management (IIMs),BE,Manu,1984
Indian Institute of Science Education and Research (IISER),Ph.D,Manu,1982
National Institute of Technology (Jaipur),B.Pharm,Medicine,2001
Indian Institute of Technology (Banaras Hindu University),B.Tech,Manu,1997
Indian Institute of Management (Kolkata),B.A,Sociology,2006
Indian Institute of Science Education and Research (IISER),BE,Comp Sci,2013
Birla Institute of Technology and Science (BITS Pilani),BE,Civil,2007
Indian Institute of Technology (Bombay),B.Tech,Manu,2002
Indian Institute of Science (IISc),B.Pharm,Medicine,2004
Indian Institute of Technology (Banaras Hindu University),Ph.D,Mechanical,1999
Birla Institute of Technology and Science (BITS Pilani),BE,Electrical,2013
Indian Institute of Management (Ahmedabad),Ph.D,Manu,1990
Indian Institute of Foreign Trade (IIFT),M.Tech,Comp Sci,2012
National Institute of Technology (Warangal),BE,Comp Sci,1980
Xavier Labour Relations Institute (XLRI),B.Tech,Manu,2012
National Institute of Technology (Calicut),BE,Electrical,1993
Xavier Labour Relations Institute (XLRI),BE,Comp Sci,2003
National Law University (NLU),B.A,Psychology,1982
Indian Institute of Technology (Kanpur),Ph.D,Civil,2004
Indian Statistical Institute (ISI),B.Pharm,Medicine,2012
Christ University,Ph.D,Comp Sci,1999
Indian Institute of Technology (Bombay),M.Tech,Manu,2019
Christ University,M.Tech,Manu,1985
Indian Statistical Institute (ISI),Ph.D,History,1987
National Institute of Technology (Warangal),B.A,English,2002
Indian Institute of Technology (Banaras Hindu University),B.A,History,1986
All India Institute of Medical Sciences (AIIMS),Ph.D,Medicine,1984
Indian Institute of Technology (Roorkee),Ph.D,Mechanical,2013
Indian Institute of Management (Ahmedabad),B.Pharm,Medicine,1980
Aligarh Muslim University (AMU),BE,Manu,2016
Symbiosis International University,B.Pharm,Medicine,2010
Delhi Technological University (DTU),B.Tech,Electrical,2007
Loyola College,M.Tech,Civil,1993
Jawaharlal Nehru University (JNU),Ph.D,English,2009
Hansraj College,BE,Mechanical,2012
Indian Institute of Management (Lucknow),BE,Electrical,1980
Indian Institutes of Management (IIMs),B.Tech,Manu,2013
Indian Institutes of Management (IIMs),B.Pharm,Medicine,2010
Indian Statistical Institute (ISI),BE,Comp Sci,2002
Indian Institute of Science Education and Research (IISER),M.Tech,Mechanical,2010
Aligarh Muslim University (AMU),B.A,Sociology,2006
National Law University (NLU),B.Pharm,Medicine,2002
Aligarh Muslim University (AMU),M.Tech,Manu,1996
Indian Institutes of Management (IIMs),B.Tech,Electrical,2018
National Institute of Technology (Warangal),M.Tech,Comp Sci,1989
Indian Institute of Technology (Banaras Hindu University),M.Tech,Manu,2022
Manipal Academy of Higher Education,M.Tech,Mechanical,2006
National Institute of Technology (NITs),Ph.D,Sociology,2019
Presidency University,BE,Mechanical,2003
National Institute of Design (NID),BE,Mechanical,1991
National Institute of Fashion Technology (NIFT),M.Tech,Electrical,1982
National Institute of Technology (Warangal),BE,Comp Sci,2006
St. Stephen's College,B.Pharm,Medicine,1990
Indian Institute of Technology (Bhubaneswar),M.Tech,Electrical,2017
Indian Statistical Institute (ISI),BE,Manu,2005
Indian Institute of Technology (Bhubaneswar),B.Pharm,Medicine,2007
Indian Institute of Technology (Bombay),B.Tech,Mechanical,1985
National Law University (NLU),B.A,History,2018
Christ University,Ph.D,History,1989
Indian Institutes of Management (IIMs),B.Pharm,Medicine,2006
Indian Institute of Technology (Delhi),B.Tech,Civil,1989
Indian School of Business (ISB),Ph.D,History,1998
National Law University (NLU),B.A,Sociology,1983
Xavier Labour Relations Institute (XLRI),B.Pharm,Medicine,1981
Indian School of Business (ISB),B.Tech,Comp Sci,2007
Indian Institute of Management (Indore),M.Tech,Manu,2015
Indian Institute of Management (Kolkata),B.Tech,Electrical,1990
Indian Statistical Institute (ISI),B.Tech,Electrical,2013
Indian School of Business (ISB),BE,Comp Sci,2012
Delhi Technological University (DTU),M.Tech,Civil,2010
National Institute of Technology (Trichy),B.Tech,Mechanical,2005
Indian Institutes of Management (IIMs),B.Pharm,Medicine,1999
St. Stephen's College,M.Tech,Civil,2018
Presidency University,B.A,History,1987
National Institute of Technology (Warangal),B.Tech,Comp Sci,1989
All India Institute of Medical Sciences (AIIMS),B.A,History,1985
National Institute of Fashion Technology (NIFT),M.Tech,Manu,2008
Indian Institutes of Technology (IITs),BE,Manu,2004
Jawaharlal Nehru University (JNU),M.Tech,Comp Sci,1984
Tata Institute of Social Sciences (TISS),B.A,Sociology,2020
Indian Institute of Management (Kolkata),B.Pharm,Medicine,1998
Indian Institute of Science Education and Research (IISER),B.Tech,Civil,1997
Jawaharlal Nehru University (JNU),Ph.D,Medicine,2004
Lady Shri Ram College for Women (LSR),B.Pharm,Medicine,2000
Indian Institutes of Technology (IITs),B.Pharm,Medicine,2017
Indian Institute of Technology (Bhubaneswar),Ph.D,History,1980
Indian Institute of Management (Kozhikode),BE,Manu,2001
Indian Institute of Technology (Bhubaneswar),M.Tech,Civil,2019
Indian Institute of Management (Lucknow),B.Pharm,Medicine,2006
National Law School of India University (NLSIU),BE,Electrical,2005
Indian Institute of Science Education and Research (IISER),B.Pharm,Medicine,2021
National Law University (NLU),B.Pharm,Medicine,1990
National Law School of India University (NLSIU),B.Tech,Civil,2011
Lady Shri Ram College for Women (LSR),BE,Electrical,2008
Xavier Labour Relations Institute (XLRI),B.Pharm,Medicine,2013
Indian Institute of Technology (Guwahati),M.Tech,Mechanical,1987
Lady Shri Ram College for Women (LSR),Ph.D,Civil,2012
Christ University,B.Pharm,Medicine,1982
Indian Institute of Technology (Madras),B.A,Sociology,1995
Banaras Hindu University (BHU),B.Pharm,Medicine,2003
National Institute of Technology (Trichy),Ph.D,Manu,1981
National Institute of Design (NID),M.Tech,Mechanical,1987
National Institute of Technology (Surathkal),B.Tech,Civil,1982
Birla Institute of Technology and Science (BITS Pilani),B.A,Sociology,2020
Indian Institute of Technology (Kanpur),B.A,Psychology,1998
National Institute of Technology (NITs),BE,Mechanical,1985
Indian Institute of Science (IISc),Ph.D,Civil,1983
Indian Institute of Management (Ahmedabad),B.Pharm,Medicine,2010
Indian Institute of Technology (Bombay),M.Tech,Civil,1980
Indian Institute of Science (IISc),Ph.D,Mechanical,1981
National Law University (NLU),Ph.D,Mechanical,2014
Hansraj College,BE,Civil,1983
Manipal Academy of Higher Education,M.Tech,Manu,2001
St. Stephen's College,B.A,English,2017
Presidency University,M.Tech,Manu,2016
Indian Statistical Institute (ISI),M.Tech,Manu,1995
Loyola College,Ph.D,Sociology,1991
Hansraj College,B.Tech,Manu,2005
National Institute of Fashion Technology (NIFT),M.Tech,Civil,2006
Loyola College,B.Pharm,Medicine,1986
National Law University (NLU),B.Tech,Manu,2016
Delhi Technological University (DTU),B.Pharm,Medicine,2007
Indian Institute of Management (Kolkata),B.Tech,Mechanical,1981
National Institute of Fashion Technology (NIFT),Ph.D,Manu,1987
National Institute of Technology (Jaipur),B.Tech,Electrical,2016
Indian Institute of Technology (Madras),B.A,Sociology,2009
Miranda House,B.Pharm,Medicine,1984
Indian Institute of Technology (Banaras Hindu University),B.A,Sociology,2009
Indian Institute of Management (Lucknow),M.Tech,Comp Sci,1996
Indian Statistical Institute (ISI),Ph.D,Electrical,2000
Miranda House,B.A,Sociology,1982
National Institute of Technology (Surathkal),B.Tech,Comp Sci,1996
Lady Shri Ram College for Women (LSR),M.Tech,Mechanical,1996
National Institute of Fashion Technology (NIFT),B.Pharm,Medicine,1984
Xavier Labour Relations Institute (XLRI),B.Pharm,Medicine,2000
National Institute of Technology (Warangal),B.Tech,Comp Sci,2002
Indian Institute of Technology (Guwahati),Ph.D,Psychology,1987
Indian Institute of Technology (Delhi),BE,Manu,2005
All India Institute of Medical Sciences (AIIMS),BE,Electrical,1980
Loyola College,BE,Mechanical,1984
Hansraj College,M.Tech,Civil,1988
Indian Institutes of Management (IIMs),B.Pharm,Medicine,2019
Indian Institute of Technology (Madras),BE,Mechanical,2002
Indian Institute of Technology (Roorkee),Ph.D,Mechanical,2015
St. Stephen's College,B.A,English,2007
Banaras Hindu University (BHU),BE,Electrical,2005
Hansraj College,B.Tech,Manu,1981
Indian Institute of Management (Kolkata),Ph.D,Mechanical,2021
Indian Institute of Management (Lucknow),Ph.D,Comp Sci,1996
Loyola College,B.Pharm,Medicine,1984
Indian Institute of Foreign Trade (IIFT),B.A,English,2005
Indian Institute of Technology (Delhi),M.Tech,Electrical,1989
Indian Institute of Technology (Delhi),M.Tech,Comp Sci,1988
Aligarh Muslim University (AMU),B.Pharm,Medicine,1988
National Law School of India University (NLSIU),Ph.D,Comp Sci,2005
Hansraj College,B.A,Psychology,2019
Indian Institute of Management (Lucknow),Ph.D,Electrical,2013
St. Stephen's College,M.Tech,Civil,2005
Indian Institute of Management (Kolkata),M.Tech,Mechanical,1983
National Institute of Fashion Technology (NIFT),BE,Manu,1995
Indian Institute of Technology (Bhubaneswar),B.A,History,1980
Indian School of Business (ISB),B.A,Psychology,2022
National Institute of Technology (Jaipur),B.Tech,Manu,1996
Delhi Technological University (DTU),M.Tech,Comp Sci,2011
Indian Institute of Technology (Madras),B.A,History,2013
Banaras Hindu University (BHU),B.Tech,Mechanical,2015
National Institute of Technology (Jaipur),M.Tech,Civil,1995
Indian Institute of Management (Lucknow),B.Tech,Manu,2008
Symbiosis International University,M.Tech,Mechanical,1982
National Institute of Technology (Jaipur),Ph.D,Mechanical,2000
National Institute of Fashion Technology (NIFT),B.Pharm,Medicine,2011
Indian Institute of Technology (Roorkee),BE,Electrical,1997
Indian School of Business (ISB),B.Pharm,Medicine,1999
National Institute of Technology (Trichy),B.A,Psychology,2017
National Institute of Technology (NITs),B.Tech,Comp Sci,1995
National Institute of Design (NID),BE,Comp Sci,2021
Indian Institute of Management (Kozhikode),BE,Comp Sci,1993
All India Institute of Medical Sciences (AIIMS),M.Tech,Mechanical,1981
Lady Shri Ram College for Women (LSR),BE,Manu,2017
National Institute of Fashion Technology (NIFT),B.Tech,Electrical,2013
National Institute of Technology (Calicut),B.Tech,Electrical,1988
Symbiosis International University,B.A,Psychology,2022
Indian Institute of Science Education and Research (IISER),BE,Manu,2009
Indian Institute of Science (IISc),B.Tech,Mechanical,2021
National Institute of Technology (NITs),B.A,History,1981
Indian Institute of Science Education and Research (IISER),B.Tech,Mechanical,2002
Indian Statistical Institute (ISI),M.Tech,Mechanical,1994
Indian Institutes of Management (IIMs),B.Pharm,Medicine,2020
Indian Institute of Management (Kozhikode),Ph.D,English,1994
Indian Institute of Technology (Guwahati),M.Tech,Electrical,2007
All India Institute of Medical Sciences (AIIMS),BE,Comp Sci,2010
Indian Institutes of Management (IIMs),B.A,Sociology,1986
National Institute of Fashion Technology (NIFT),B.A,English,1998
Manipal Academy of Higher Education,Ph.D,Psychology,2014
National Law School of India University (NLSIU),B.Tech,Civil,1990
National Institute of Technology (NITs),B.A,Psychology,1983
Indian Institutes of Management (IIMs),M.Tech,Electrical,2009
Symbiosis International University,B.Pharm,Medicine,2016
Christ University,M.Tech,Manu,1993
